Línea 3501: Columnas incorrectas (1, esperadas 28)
Línea 3484: Columnas incorrectas (19, esperadas 28)
Línea 3483: Columnas incorrectas (10, esperadas 28)
Línea 1981: Columnas incorrectas (19, esperadas 28)
Línea 1980: Columnas incorrectas (10, esperadas 28)
Línea 1134: Columnas incorrectas (19, esperadas 28)
Línea 1133: Columnas incorrectas (1, esperadas 28)
Línea 1132: Columnas incorrectas (1, esperadas 28)
Línea 1131: Columnas incorrectas (10, esperadas 28)
Línea 974: Columnas incorrectas (19, esperadas 28)
Línea 973: Columnas incorrectas (10, esperadas 28)
Línea 713: Columnas incorrectas (19, esperadas 28)
Línea 712: Columnas incorrectas (1, esperadas 28)
Línea 711: Columnas incorrectas (10, esperadas 28)
Línea 565: Columnas incorrectas (19, esperadas 28)
Línea 564: Columnas incorrectas (10, esperadas 28)
Línea 380: Columnas incorrectas (19, esperadas 28)
Línea 379: Columnas incorrectas (10, esperadas 28)
Línea 335: Columnas incorrectas (19, esperadas 28)
Línea 334: Columnas incorrectas (10, esperadas 28)
Línea 304: Columnas incorrectas (19, esperadas 28)
Línea 303: Columnas incorrectas (10, esperadas 28)
