movie_id;collection_id;collection_name;poster_path;backdrop_path
100042;96665;Dumb and Dumber Collection;/fdB86tl7SKIBWZzm0CbrYjOdE1K.jpg;/saUnj5K6buVafDfLfTozDH2eqdC.jpg
100183;108804;Outpost Collection;/xiAWTgzyb1TxW8kN05qiVKNJFxb.jpg;/7glOZjnZWYYcr67pvz3mSIYIBOC.jpg
100450;19262;Trapped in the Closet;/flE2zDumOcyetdD6vwwSfYqRVA5.jpg;/lpGdI8XpvDSC6QvGEmQt3l28Nxn.jpg
101299;131635;The Hunger Games Collection;/ttbKy12hDjSHQcM7sCoeW1WsDlW.jpg;/zWiiLNg8yXv0he3tCH6XignPaYV.jpg
102899;422834;Ant-Man Collection;/lEdpEJWJdtVLgmpPkXSTd2xczmY.jpg;/2KjtWUBiksmN8LsUouaZnxocu5N.jpg
105;264;Back to the Future Collection;/UV8VEgAxgKVnCVnZhFACmhxjE4.jpg;/c9C9Pg2QctyjZHRmS0P8rZg1OTA.jpg
105073;105075;The Shadow Collection;/s3ymS1GDfSYmMKmIdCBMc0fbVni.jpg;/ntIfzZNGz2aHRumYM7P8vqLJv6W.jpg
1051;155474;French Connection Collection;/zheN2WhCSS1M8rkjObQGr0dZdvZ.jpg;/islbdTICsxPE1c3YEFzEc9Wb46p.jpg
106;399;Predator Collection;/6Z7lASptoiRVxiCFvZaFgH9qp7u.jpg;/fXVzk9OxQwROCuiWvd0Cv76qmZi.jpg
106747;210006;Machete Collection;/7kN9MY7htPG0sI598VJK2pB6zEs.jpg;/vURYjEnOd8if3juhZh6HRcTJs7T.jpg
107966;415931;The Bowery Boys;/q6sA4bzMT9cK7EEmXYwt7PNrL5h.jpg;/foe3kuiJmg5AklhtD3skWbaTMf2.jpg
108;131;Three Colors Collection;/rVdd23QuT5rHX7lZvuAkRRUkeCZ.jpg;/AeHExfHIl70SZCea907KfEoSkfJ.jpg
109;131;Three Colors Collection;/rVdd23QuT5rHX7lZvuAkRRUkeCZ.jpg;/AeHExfHIl70SZCea907KfEoSkfJ.jpg
1091;479888;The Thing Collection;/9O8LH1fyDNIR26UdtQK4NLGbvLI.jpg;/lUPruOqjDhZrCKz9Ze2tCufPxHR.jpg
109418;180546;Grown Ups Collection;/8m9PIgdP6Nj18P3thsyI70qs76s.jpg;/jKtFxygwI6qNoyR7LhPczWCbvTh.jpg
11;10;Star Wars Collection;/ghd5zOQnDaDW1mxO7R5fXXpZMu.jpg;/d8duYyyC9J5T825Hg7grmaabfxQ.jpg
110;131;Three Colors Collection;/rVdd23QuT5rHX7lZvuAkRRUkeCZ.jpg;/AeHExfHIl70SZCea907KfEoSkfJ.jpg
1103;115838;Escape From ... Collection;/8Zih8QGPJNXUuws0fIZmjxjs2Su.jpg;/c9mWaF2oeodriDLqYQr425sasxo.jpg
113209;175763;TekWar Collection;/tJLdyZ8PXQASGeAzjTEcnQ545sg.jpg;/lixAk6QqmGb0CYGUROt8vLx4DS0.jpg
115873;427397;The Angrez Collection;/aGTwpTqBiqRmL3TYVm7d0lsJFJG.jpg;/wj8MFAYnKz0k2LcERbpnxhL5cIK.jpg
116185;122489;Billa Collection;/sgFyCWGUkNnadObeVOf7Mg25ekY.jpg;/pRoqPDgwJ20uifXYvUcdZOSlf73.jpg
12;137697;Finding Nemo Collection;/xwggrEugjcJDuabIWvK2CpmK91z.jpg;/2hC8HHRUvwRljYKIcQDMyMbLlxz.jpg
120;119;The Lord of the Rings Collection;/p4UokEk2XnjjRTdXGe6DLYXlbI1.jpg;/bccR2CGTWVVSZAG0yqmy3DIvhTX.jpg
121;119;The Lord of the Rings Collection;/p4UokEk2XnjjRTdXGe6DLYXlbI1.jpg;/bccR2CGTWVVSZAG0yqmy3DIvhTX.jpg
122;119;The Lord of the Rings Collection;/p4UokEk2XnjjRTdXGe6DLYXlbI1.jpg;/bccR2CGTWVVSZAG0yqmy3DIvhTX.jpg
122857;10713;Universal Soldier Collection;/vz9ym8LnmyvEAm4ms9PH8JUmUuQ.jpg;/bonZuSo9YE7LFHEFE8oLD3qv32o.jpg
1246;1575;Rocky Collection;/mCY5dMkSSFQufGCViI6jNUU6pXq.jpg;/w4h6gjdWPvmu5R9H6zeGDPo1ZuV.jpg
1248;9743;The Hannibal Lecter Anthology;/aRbyr3KsdmIczGh6VrlvlgQdwMQ.jpg;/npCbvak9UhjPsZB9Oa2k2jsqI7E.jpg
1250;90306;Ghost Rider Collection;/bZBasloaMhjxCwH6tV0eziNMqut.jpg;/ee8zhn4VIXQh1J5t7efyybcvHLj.jpg
125271;435347;男はつらいよ シリーズ;/k4gM0LHFIqcrMui0E96UcFFjRmK.jpg;/rYzWYGF0uZ5jWGHsIoRoGUOdpoi.jpg
125509;52985;Wrong Turn Collection;/dtfQY5ZxvdHNG4HqNDy0ifwk1q6.jpg;/32IsLLCoj3mIkZbLfCKSXZVqd3k.jpg
125513;145553;Slayers - Movie Collection;/mib71HoIpeOMM6ujR6vRUYbc0lt.jpg;/6yu4IuMY7AYK6nnZ5SAIfBEBzuz.jpg
125521;145553;Slayers - Movie Collection;/mib71HoIpeOMM6ujR6vRUYbc0lt.jpg;/6yu4IuMY7AYK6nnZ5SAIfBEBzuz.jpg
1266;124881;Street Kings Collection;/r0c2hR2KQsZO3vdhFQdUsnSuUef.jpg;/lKOSWtpAQZh7x8YuyYFDv0Y6LWo.jpg
1268;103372;Mr. Bean Collection;/61Jcc1Gwc2KE7sIJ1HPqqdt67ji.jpg;/aIXcqHz5VKRLXHPsNo0dFoK7YP5.jpg
1269;68589;The Wixxer Trilogy;/3nYJt73H566hsYBeqvJzPkdaLeI.jpg;/iLj79iSoIG2ee1p0w04Q1aEWndL.jpg
1271;125570;300 Collection;/nKQqh6kJvPdpOJD24enD3Bm1Hy5.jpg;/mLLztGKyxSLoWjgRSpmm9W12VsU.jpg
127585;748;X-Men Collection;/1Zo4J5SAni8lyXt7NxJwJZ0f0ip.jpg;/Abnosho2v3bcdvDww6T7Hfeczm1.jpg
1281;103372;Mr. Bean Collection;/61Jcc1Gwc2KE7sIJ1HPqqdt67ji.jpg;/aIXcqHz5VKRLXHPsNo0dFoK7YP5.jpg
1283;2248;Torrente Collection;/crCyDVyXc4kVyO2a0Tk5fposzm8.jpg;/hm4yNDojfPUi34OKLEsHiweM0iT.jpg
1284;2248;Torrente Collection;/crCyDVyXc4kVyO2a0Tk5fposzm8.jpg;/hm4yNDojfPUi34OKLEsHiweM0iT.jpg
1285;2248;Torrente Collection;/crCyDVyXc4kVyO2a0Tk5fposzm8.jpg;/hm4yNDojfPUi34OKLEsHiweM0iT.jpg
129830;267551;Aniskin Collection;/jgCfGd7CY95sRIe7QZOzkzc59d0.jpg;/rFVLwRq0ayZBDFheXTu2acJY1bQ.jpg
131634;131635;The Hunger Games Collection;/ttbKy12hDjSHQcM7sCoeW1WsDlW.jpg;/zWiiLNg8yXv0he3tCH6XignPaYV.jpg
132344;123800;Before... Collection;/giaxAC74fht0LVQ4WKVoDzLM2Iy.jpg;/wtNugZq8ZzBYwPIh3VoNUJdkBWG.jpg
133121;133352;Resident Evil: Biohazard;/fICwXslWyYTEodNpnTlQUhOg7xl.jpg;/TSpFZFIgVX4I3Zsnlm3HAlDO14.jpg
133716;98180;Jungle Jim Collection;/vRrlzcvFTpjY8F35lyyDQVf3ZgL.jpg;/dQ8k7oEDvD9TgFagrsgTwXoWRHf.jpg
133879;24717;Johan Falk GSI Collection;/7ePcKBHb0GAYugtOlU9QhRVLzNb.jpg;/1k71fktd6XL4b5sk0YH9yA8TwMX.jpg
134366;135466;Grave Encounters Collection;/1vLfiFfyJp95vpPDUfH3kRMxn5G.jpg;/9gKwnJbPjY65EVb5oFlbmY4qF2p.jpg
134597;165369;The Collector Collection;/AhwErLgytU4ICqvvcIYbAM1xeeu.jpg;/4x4mtl1xgxIH5yxGr05L1WZeTjG.jpg
