movie_id;company_id;company_name
100;146;Handmade Films Ltd.
100;491;Summit Entertainment
100;1382;PolyGram Filmed Entertainment
100;13419;SKA Films
100;21920;The Steve Tisch Company
100010;8411;Metro-Goldwyn-Mayer (MGM)
100017;84825;MMM Film Zimmermann & Co
100032;19237;Von Zerneck Sertner Films
100042;12;New Line Cinema
100042;33;Universal Pictures
100042;1156;Conundrum Entertainment
100042;19177;Red Granite Pictures
100089;1311;The Asylum
100167;38857;Orenda Films
100183;12977;Black Camel Pictures
100246;15634;Vitagraph Company of America
100257;1221;Gainsborough Pictures
100275;118;Det Danske Filminstitut
100275;806;Téléfilm Canada
100275;7048;Fridthjof Film
100275;64899;Make A Move
100287;118;Det Danske Filminstitut
100490;22123;TF1
100529;43;Fox Searchlight Pictures
100529;4205;Groundswell Productions
100540;10530;Alternate Ending Studios
100830;2612;Les Productions du Trésor
101;5;Columbia Pictures
101;9;Gaumont
101006;1394;Black Forest Films
101006;7777;Slot Machine
101006;20008;CMW Films
101006;35558;Eddie Saeta S.A.
101006;39339;4L
101176;2683;Rai Cinema
101176;15080;Achab Film
101176;22217;Wiseacre Films
101176;28935;Emergency Exit Pictures
101226;18682;Out of Towners Productions
101289;8411;Metro-Goldwyn-Mayer (MGM)
101299;1632;Lionsgate
101299;5420;Color Force
101307;6194;Warner Bros.
101383;6033;Paramount
101444;4787;Gico Cinematografica S.r.L.
101444;61682;Regal Film
101514;3213;Disney Channel
101653;8411;Metro-Goldwyn-Mayer (MGM)
1018;373;Asymmetrical Productions
1018;635;Les Films Alain Sarde
1018;636;Babbo Inc.
1018;637;The Picture Factory
1018;5358;Canal+
101801;4595;Negativ
101801;6191;Falcon
101801;92606;Cestmír Kopecký
101801;92607;Czech TV Brno
101887;6092;Licht/Mueller Film Corporation
101887;18880;Showtime Networks
101904;12389;Les Films Pelléas
102;76;Zentropa Entertainments
102078;15606;Jaguar Productions
102165;3473;William Goetz Productions
102197;3467;Three T Productions
102197;6453;Studio Trite
102197;9342;Central Partnership
102197;19126;VGTRK
102197;76043;Revolution Sun Studios
102197;77594;Vserossiyskaya Gosudarstvennaya Televizionnaya i Radioveshchatelnaya Kompaniya (VGTRK)
102242;3915;Dean River Productions
102286;306;Twentieth Century Fox Film Corporation
102292;313;TS Productions
102292;36079;France 3 (FR3)
1023;1789;M&M Productions
1024;11;WingNut Films
1024;14;Miramax Films
1024;294;New Zealand Film Commission
1024;2306;Fontana Productions
102419;6;RKO Radio Pictures
102461;874;Cinéa
102526;8411;Metro-Goldwyn-Mayer (MGM)
102541;3245;First National Pictures
102899;420;Marvel Studios
102949;4780;Hesperia Films S.A.
102949;8485;Ultra Film - Sicila Cinematografica
103;441;Columbia Pictures Corporation
103;46059;Italo/Judeo Productions
103;46060;Bill/Phillips
103162;14914;HBO Documentary
103162;62702;Whyaduck Productions
103203;75555;Enaproc
103203;75556;Films Domireew
103203;75557;Films Kajoor
103210;4;Paramount Pictures
103210;455;Permut Presentations
103210;10308;Dino De Laurentiis Company
103243;3653;Eros International
103269;429;DC Comics
103269;2785;Warner Bros. Animation
103269;4811;Warner Premiere
103299;798;Samuel Goldwyn Company
103301;383;Goskino Productions
103328;254;Pandora Filmproduktion
103328;5358;Canal+
103370;3096;Tyler Perry Company, The
103413;508;Regency Enterprises
103413;644;Alcor Films
103413;6194;Warner Bros.
103413;37265;Fron Film Production
103502;13839;Metafilms
103539;3623;Kazakhfilm Studios
103539;71333;Mount Helix
103590;15326;Gruzia-Film
103663;76;Zentropa Entertainments
103663;118;Det Danske Filminstitut
103663;119;Danmarks Radio (DR)
103663;850;Eurimages
103663;851;MEDIA Programme of the European Union
103663;3221;Sveriges Television (SVT)
103663;7446;Svenska Filminstitutet (SFI)
103663;8555;Nordisk Film- & TV-Fond
103663;74636;Film Väst
103731;7493;FilmNation Entertainment
103731;10892;Everest Entertainment
103747;856;Wild Bunch
103747;1926;Les Films Du Fleuve
103747;7281;British Film Institute (BFI)
103747;8147;Entertainment One
103747;12695;Sixteen Films
103747;15130;Urania Pictures S.r.l.
103753;17387;Jeonwonsa Film
103875;94;ARTE France Cinéma
103875;1249;Les Films du Lendemain
103875;28182;Dream Author
1039;162;Bayerischer Rundfunk
1039;608;Dor Film Produktionsgesellschaft GmbH
1039;3391;Österreichischer Rundfunk (ORF)
103972;235;Nordisk Film
104;1972;X-Filme Creative Pool
104;7025;Westdeutscher Rundfunk (WDR)
1040;641;Titanus
1040;642;S.G.C.
1040;643;Société Nouvelle Pathé Cinéma
1040;10932;The Criterion Collection
104041;537;Universal TV
104041;3535;Associated London Films
104041;537;Universal TV
104041;3535;Associated London Films
104043;142;Silver Films
104211;5488;Fox Film Corporation
104239;1542;Como Film
104239;12508;Studio Hraných Filmov Bratislava
104274;1639;Les Films Jacques Leitienne
104274;1702;Medusa Produzione
104274;2185;National Cinematografica
104274;4269;Nuova Dania Cinematografica
104285;5001;Conacite Dos
104301;9195;Touchstone Pictures
104343;9181;Art Theatre Guild
104343;9182;Sozosha
104354;1527;Les Productions Jacques Roitfeld
104354;64379;Babylone Films
104354;84240;Luso Films
104354;84241;Ci-Le Films
104374;13246;Gendai Eigasha
104376;310;Centre National de la Cinématographie
104376;5982;Bioskop Film
104376;10845;Lenfilm
104376;12784;Orient Express
104376;12785;Roskomkino
104462;45867;Star Film Company
104480;7159;Star-Film
104524;3033;Asmik Ace Entertainment
104606;5798;Shaw Brothers
104638;8011;Producciones A.S.H. Films S.A.
104638;12625;Canal+ Espana
104638;31125;Antena 3 Televisión
104776;38972;Daiwa Building
1049;104;Canal Plus
1049;508;Regency Enterprises
1049;644;Alcor Films
104954;1701;Dania Film
104954;10000;Compagnia Cinematografica Champion
104973;4799;Eurociné
105;33;Universal Pictures
105;56;Amblin Entertainment
105;20448;U-Drive Productions
1050;645;Imar Film Co., Ltd.
105073;10588;Colony Pictures
105077;3585;David Eick Productions
105077;7534;R&D TV
105079;249;Société Nouvelle de Cinématographie
105079;1818;Tritone Cinematografica
105079;15868;Medusa Distribuzione
105098;2508;Cinegai S.p.A.
105157;18758;Edison Manufacturing Company
105184;38573;Barbara Moorse Workshop
1052;650;Bridge Films
1052;8411;Metro-Goldwyn-Mayer (MGM)
1052;60762;Carlo Ponti Production
105246;39987;Playboy Entertainment Group
105246;56520;Entertainment Events
105254;634;ABC Pictures
105254;7445;Cinematograph AB
105299;14185;Canadian Film Centre (CFC)
105299;64572;Step-Films Inc.
105299;64574;Feature Film Project, The
105304;6844;Thelma Films
105325;2;Walt Disney Pictures
105325;6125;Walt Disney Animation Studios
105347;13932;Luiz Carlos Barreto Produções Cinematográficas
105347;76566;Regina Filmes
105347;93188;Condor Filmes
105404;60;United Artists
