movie_id;person_id;person_name;job;department;credit_id;gender;profile_path
100;956;Guy Ritchie;Director;Directing;52fe4217c3a36847f80035c1;2;/uLpiixgcko2W5GLsqBEvSfluyEs.jpg
100;957;Matthew Vaughn;Producer;Production;52fe4217c3a36847f80035c7;2;/Dnbz3B7yy4u0abixuD5LakZgsy.jpg
100;959;David A. Hughes;Original Music Composer;Sound;52fe4217c3a36847f80035cd;2;
100;960;John Murphy;Original Music Composer;Sound;52fe4217c3a36847f80035d3;2;
100;966;Tim Maurice-Jones;Director of Photography;Camera;52fe4217c3a36847f80035d9;2;
100;967;Iain Andrews;Production Design;Art;52fe4217c3a36847f80035df;0;
100;968;Eve Mavrakis;Production Design;Art;52fe4217c3a36847f80035e5;0;
100;970;Celestia Fox;Casting;Production;52fe4217c3a36847f80035eb;1;
100;956;Guy Ritchie;Casting;Production;52fe4217c3a36847f80035f1;2;/uLpiixgcko2W5GLsqBEvSfluyEs.jpg
100;971;Niven Howie;Editor;Editing;52fe4217c3a36847f80035f7;0;
100;956;Guy Ritchie;Screenplay;Writing;52fe4217c3a36847f8003651;2;/uLpiixgcko2W5GLsqBEvSfluyEs.jpg
100;39670;Stephanie Collie;Costume Design;Costume & Make-Up;534feadf0e0a267eab000f7c;0;
100010;14855;Frank Borzage;Director;Directing;52fe49c7c3a36847f81a5a21;2;/ywsES5vf5uH4GelIDmaJWJAhdOG.jpg
100010;96253;Wells Root;Screenplay;Writing;52fe49c7c3a36847f81a5a3f;2;
100010;171837;John Sutherland;Story;Writing;52fe49c7c3a36847f81a5a2d;0;/vMzn5BoqA09WoKyj0lyGk8eTiH.jpg
100010;1022764;Harvey S. Haislip;Screenplay;Writing;52fe49c7c3a36847f81a5a45;0;
100010;1022764;Harvey S. Haislip;Story;Writing;52fe49c7c3a36847f81a5a27;0;
100017;40016;Angelina Maccarone;Director;Directing;53f5e242c3a36833f7003a15;0;
100017;1355322;Susanne Billig;Screenplay;Writing;53f5e255c3a36833f7003a18;0;
100017;1398486;Jakob Hansonis;Compositors;Crew;58612dadc3a3681a620306a2;0;
100017;1469094;Hartmut Ewert;Compositors;Crew;58612dbdc3a3681a620306af;0;
100032;36116;William Bast;Writer;Writing;59ac6d9f925141079d033344;2;
100032;51522;Frank von Zerneck;Executive Producer;Production;59ac6f6192514107af034d14;2;
100032;70944;Robert M. Sertner;Executive Producer;Production;59ac6f74925141072f035327;0;
100032;130018;Paul Huson;Writer;Writing;59ac6db3925141078a035b66;2;
100032;167403;Larry Elikann;Director;Directing;52fe49c7c3a36847f81a5c7f;2;
100042;2507;Matthew F. Leonetti;Director of Photography;Camera;54e36a7bc3a3684897001610;2;
100042;6114;Marc S. Fischer;Executive Producer;Production;54e36a2a92514119530096e6;2;
100042;7415;Rick Montgomery;Casting;Production;54e36a99c3a368454b008dbf;2;
100042;7395;Bobby Farrelly;Director;Directing;52fe49c8c3a36847f81a5ecb;2;/8rlgvqmsfUiDTfywVGnJbamah03.jpg
100042;7395;Bobby Farrelly;Producer;Production;54e369d9c3a36848970015fc;2;/8rlgvqmsfUiDTfywVGnJbamah03.jpg
100042;7395;Bobby Farrelly;Writer;Writing;54e369a9925141454f007352;2;/8rlgvqmsfUiDTfywVGnJbamah03.jpg
100042;7396;Peter Farrelly;Director;Directing;52fe49c8c3a36847f81a5ed1;2;/gJcM7v6tTOKXfiqhtH3GcCyojgv.jpg
