movie_id;keyword_id;keyword_name
100;502;ambush
100;567;alcohol
100;1366;shotgun
100;4262;tea
100;4523;joint
100;7149;machismo
100;9227;cocktail
100;9897;rifle
100;10776;marijuana
100;11362;cockney accent
100;11488;pot smoking
100;15394;hatchet
100;15395;antique
100;15396;cardsharp
100;18047;anger
100;167542;carjacking
100;207592;piano
100;227944;strip show
100;227945;high stakes
100010;3203;pilot
100010;3588;navy
100017;2843;fetishism
100017;3260;masochism
100017;155813;submissive
100017;157799;older woman younger man relationship
100017;170335;whipping
100017;172039;dominant woman
100017;176697;collar
100017;187056;woman director
100042;6054;friendship
100042;9663;sequel
100042;167043;road movie
100042;167541;buddy comedy
100046;179430;aftercreditsstinger
100085;187056;woman director
100089;293;female nudity
100089;679;cyborg
100089;2652;nazis
100089;12377;zombie
100089;169443;face ripped off
100167;3688;strip club
100167;14964;drug
100167;156121;ex-con
100167;186792;barroom brawl
100183;2321;bunker
100183;2652;nazis
100183;3023;eastern europe
100183;6091;war
100183;9663;sequel
100183;10085;betrayal
100183;10834;super soldier
100183;12377;zombie
100183;14819;violence
100183;18543;combat
100183;156174;occult
100183;161255;nazi hunter
100183;161256;third reich
100183;185433;outpost
100185;3094;australian
100185;18035;family
100196;1415;small town
100246;2598;museum
100246;12616;dinosaur
100246;154802;silent film
100246;166958;prehistoric creature
100275;14895;cannibal
100275;179878;sleepwalking
100275;222850;art teacher
100287;187056;woman director
100490;9663;sequel
100529;12392;best friend
101;242;new york
101;417;corruption
101;782;assassin
101;796;police brutality
101;1465;loss of family
101;1470;s.w.a.t.
101;2356;immigrant
101;2708;hitman
101;4613;training
101;9748;revenge
101;9826;murder
101;9957;loneliness
101;10226;neighbor
101;10703;tragic love
101;34117;cult film
101;207268;neo-noir
101;233083;complex relationship
101;233084;complex characters
101006;41599;sailor
101226;612;hotel
101226;2203;unexpected happiness
101226;9840;romance
101226;9957;loneliness
101299;271;competition
101299;818;based on novel
101299;1310;mentor
101299;1328;secret
101299;1382;factory
101299;2136;television
101299;2903;propaganda
101299;2964;future
101299;4565;dystopia
101299;5740;alliance
101299;6186;games
101299;8570;president
101299;8862;uprising
101299;9663;sequel
101299;9826;murder
101299;10349;survival
101299;10410;conspiracy
101299;11196;rebellion
101299;11221;blood
101299;11322;female protagonist
101299;12380;tournament
101299;14601;explosion
101299;15017;danger
101299;156395;imax
101299;171956;winner
101299;223438;based on young adult novel
101307;9748;revenge
101307;162300;government cover-up
101307;181635;government conspiracy
101307;220935;nerve gas
101444;1454;treasure
101444;1585;snake
101444;5572;fistfight
101444;10787;jungle
101444;12617;airplane crash
101444;188989;supernatural power
101444;191574;cobra
101514;1009;baby
101514;13130;teenager
101514;213113;quintuplets
101653;5565;biography
101653;6165;historical figure
1018;222;schizophrenia
1018;1284;identity
1018;1453;amnesia
1018;1565;loss of sense of reality
1018;1660;suppressed past
1018;2754;trauma
1018;2849;key
1018;3183;bisexuality
1018;3298;hallucination
1018;3307;surreal
1018;3489;job interview
1018;4623;casting
1018;9937;suspense
1018;10183;independent film
1018;10768;lesbian
1018;12670;los angeles
101801;11800;mockumentary
101803;886;film making
101803;5565;biography
101904;10183;independent film
102;30;individual
102;509;denmark
102;856;paraplegic
102;978;broken engagement
102;1333;desperation
102;1334;wedding vows
102;1335;sense of guilt
102;3817;chance
102;7879;secret love
102;9844;car crash
102;11612;hospital
102;12996;dogme 95
102;14534;relationship
102;15160;divorce
102;34094;extramarital affair
102;158558;disabled
102;187056;woman director
102051;10196;role playing
102051;157909;larp
102051;10196;role playing
102051;157909;larp
102165;478;china
102165;818;based on novel
102165;1944;epilepsy
102165;33344;bandit
102242;12990;singing
102286;3800;airplane
102286;10168;aviation
102286;12617;airplane crash
102286;191477;pilot error
1023;376;neo-nazi
1023;1499;pastor
1023;1660;suppressed past
1023;2045;cynic
1023;2251;lie
1023;4637;parish
1023;6150;faith
1023;8201;satire
1023;9649;god
1023;10123;dark comedy
1023;11001;religion
1023;14765;church
1023;33457;alcoholic
1023;33673;apple
1023;46958;good and bad
1023;199623;religious humour
102305;3009;farm worker
1024;456;mother
1024;572;sex
1024;1328;secret
1024;1523;obsession
1024;2132;literature
1024;2483;nudity
1024;2486;fantasy
1024;2983;passion
1024;9673;love
1024;9713;friends
1024;9826;murder
1024;10183;independent film
1024;10768;lesbian
1024;10984;true
1024;14534;relationship
102419;254;france
102419;470;spy
102419;612;hotel
102526;3136;plantation
102526;157929;rubber plantation
102526;160800;congo
102533;187056;woman director
102899;8828;marvel comic
102899;9715;superhero
102899;9717;based on comic
102899;179430;aftercreditsstinger
102899;179431;duringcreditsstinger
102899;180547;marvel cinematic universe
102899;209714;3d
102949;974;bank
102949;33600;stagecoach
102949;156120;train robbery
102949;188283;tripping and falling
102949;188284;gun smuggling
102949;188285;ransom note
102949;188286;bullet hole
102949;188287;rich daughter
102961;293;female nudity
102961;782;assassin
102961;157204;girls with guns
103;422;vietnam veteran
103;444;taxi
103;1523;obsession
103;2231;drug dealer
103;4225;night shift
103;7002;vigilante
103;7368;alienation
103;9622;misanthrope
103;11325;shot to death
103;33625;illegal prostitution
103;167104;loner
103162;3485;comedian
103162;5565;biography
103162;10267;comedy
103162;225317;lenny bruce
103203;409;africa
103203;1956;world war ii
103203;6544;senegal
103203;6683;autobiography
103210;276;philadelphia
103243;10540;bollywood
103269;392;england
103269;849;dc comics
103269;9715;superhero
103269;10761;superhuman
103269;155030;superhero team
103269;163455;super powers
103269;209949;the elite
103328;5641;limousine
103328;33507;multiple identities
103328;34112;wig
103328;155678;penis
103328;156546;talking car
103328;181016;sewer of paris
103328;184152;traveling through a sewer
103328;184157;multiple roles
103413;236;suicide
103413;2438;social worker
103413;5331;village
103413;6783;orphanage
103413;13014;orphan
103413;194430;small village
103462;187056;woman director
103502;2864;one-night stand
103502;3356;quebec
103502;4433;conversation
103502;8631;slacker
103502;187056;woman director
103528;11001;religion
103528;14765;church
103528;18396;catholic
103528;162954;elvis presley
103528;187056;woman director
103663;494;father son relationship
103663;509;denmark
103663;2251;lie
103663;2337;pedophilia
103663;4590;kindergarten
103663;5905;father
103663;7946;deer
103663;10103;children
103663;10508;teacher
103663;10873;school
103663;14576;pedophile
103663;15160;divorce
103663;33688;hunting
103731;1261;river
103731;1585;snake
103731;5521;arkansas
103731;10718;fugitive
103731;158244;river boat
103747;388;scotland
103747;9193;whiskey
103747;9907;community service
103753;10131;interracial relationship
103753;185505;film student
1039;570;rape
1039;1201;austria
1039;1756;opression
1039;1842;village life
1039;2690;heart disease
1039;2801;self-defense
1039;2802;mountain village
1039;2850;testament
1039;3009;farm worker
1039;3188;heart-throb
1039;4402;peasant
1039;4932;farm
1039;5331;village
103972;187056;woman director
104;220;berlin
104;585;casino
104;745;nun
104;794;red hair
104;795;running
104;960;homeless person
104;1545;supermarket
104;1546;ambulance
104;1552;subway
104;5600;daughter
104;10594;money
104;10855;fate
1040;393;civil war
1040;629;sicily
1040;1499;pastor
1040;1610;country estate
1040;2471;monarchy
1040;2692;arranged marriage
1040;3720;power
1040;3734;ambition
1040;3776;officer
1040;3997;power takeover
1040;4052;political instability
1040;4645;palermo
1040;4647;bourbon
1040;4648;naples
1040;4649;opportunist
1040;4812;plan
1040;6049;praise
1040;6091;war
1040;163048;decadence
104041;5153;son
104041;9748;revenge
104041;10508;teacher
104041;5153;son
104041;9748;revenge
104041;10508;teacher
104043;6054;friendship
104043;11001;religion
104043;14514;class differences
104043;14714;summer vacation
104043;160296;religious differences
104043;187056;woman director
104043;220314;wealth differences
104211;176056;time traveler
104239;1501;allegory
104239;1541;nihilism
104239;1664;eroticism
104239;5918;painting
104239;9887;surrealism
104239;13006;torture
104239;14819;violence
104239;15216;avant-garde
104239;18020;fantasy sequence
104239;18034;desert
104239;34079;death
104239;218164;coffee bar
104274;422;vietnam veteran
104274;1415;small town
104274;3030;nightmare
104274;3398;release from prison
104274;6149;police
104274;8723;poacher
104274;9748;revenge
104274;9826;murder
104274;10250;redneck
104274;11059;bear trap
104274;33688;hunting
104274;226376;corrupt cop
104285;195222;nunsploitation
104317;214549;short
104374;596;adultery
104374;818;based on novel
104374;1936;blackmail
104376;818;based on novel
104431;187056;woman director
104462;1890;camping
104462;3303;bedroom
104462;3501;bed
104462;3872;broom
104462;3888;giant spider
104462;154802;silent film
104462;157337;inn
104462;158091;giant insect
104462;192942;insects
104462;207928;19th century
104462;211608;chamber pot
104480;15061;docudrama
104480;33782;diver
104480;154802;silent film
104524;187056;woman director
104606;779;martial arts
104606;3202;con man
104606;234479;contacting spirits
104638;798;sheriff
104638;1930;kidnapping
104638;33685;gold mine
104638;155697;aristocrat
104638;160586;western spoof
104638;168268;saloon singer
104638;209139;far west
104644;15160;divorce
1049;531;southern usa
1049;1157;wife husband relationship
1049;1453;amnesia
1049;1543;war veteran
1049;1571;return
1049;1842;village life
1049;2122;death penalty
1049;2125;gallows
1049;2320;violent husband
1049;2619;suspicion of murder
1049;3012;court case
1049;3437;death sentence
1049;3441;sentence
1049;3864;false identity
1049;4127;one-sided love
1049;4183;wife
1049;4402;peasant
1049;4549;loss of husband
1049;5331;village
1049;5888;agriculture
1049;6091;war
1049;14819;violence
104954;131;italy
104954;572;sex
104954;7984;bikini
104954;9840;romance
104954;13059;prostitution
104954;14819;violence
104954;14964;drug
104954;197619;foreign
104973;5600;daughter
104973;10777;goddess
104973;10787;jungle
104973;157155;explorer
105;389;clock tower
105;830;car race
105;949;terrorist
105;951;delorean
105;952;lightning
105;953;guitar
105;955;plutonium
105;999;sports car
105;1436;inventor
105;1743;journey in the past
105;4379;time travel
105;4776;race against time
105;9104;partner
105;9789;misfit
105;10125;mad scientist
105;11860;fish out of water
105;18425;teenage love
105;40850;destiny
105;186189;hidden identity
105;187376;odd couple
105;187710;escapade
105;189449;disorder
105;206687;chases and races
105;206715;love and romance
105;206720;teenage life
105;206735;misfit partners
105;206736;changing the past or future
105;206737;getting home
105;206738;inventions and discoveries
1050;791;mentally disabled
1050;941;tradition
1050;1157;wife husband relationship
1050;1879;shower
1050;2384;modernity
1050;3131;modern society
1050;4183;wife
1050;4480;business man
1050;4652;bath house
1050;5809;marriage crisis
1050;33683;beijing
1050;164920;opera singer
