movie_id;language_iso;language_name
100;3241;English
100010;3241;English
100017;3201;Deutsch
100032;3241;English
100042;3241;English
100046;3241;English
100089;3241;English
100167;3241;English
100183;3241;English
100196;3241;English
100205;3241;English
100246;3241;English
100257;3241;English
100270;3246;Español
100272;3241;English
100275;3241;English
100287;3197;Dansk
100450;3241;English
100490;3241;English
100529;3241;English
100540;3241;English
100830;3276;Français
101;3241;English
101006;3246;Español
101176;3241;English
101226;3241;English
101281;3241;English
101289;3241;English
101299;3241;English
101307;3241;English
101352;3276;Français
101362;3580;Polski
101444;3241;English
101444;3371;Italiano
101514;3241;English
101538;3241;English
101653;3241;English
101715;3241;English
1018;3246;Español
1018;3241;English
101801;3184;Český
101887;3241;English
101887;3651;Pусский
101904;3276;Français
101908;3886;普通话
101916;3241;English
102;3197;Dansk
102051;3241;English
102051;3241;English
102078;3241;English
102165;3241;English
102197;3651;Pусский
102242;3241;English
102286;3241;English
102292;3325;עִבְרִית
102292;3276;Français
102292;3121;العربية
1023;3197;Dansk
102305;3246;Español
1024;3241;English
102419;3241;English
102461;3276;Français
102517;3241;English
102526;3241;English
102533;3276;Français
102533;3241;English
102841;3241;English
102858;3241;English
102858;3580;Polski
102858;3651;Pусский
102870;3239;ελληνικά
102899;3241;English
102901;3246;Español
102949;3371;Italiano
102961;3241;English
103;3241;English
103;3246;Español
103048;3329;हिन्दी
103066;3383;日本語
103081;3241;English
103162;3241;English
103203;3276;Français
103203;3800;Wolof
103210;3241;English
103243;3329;हिन्दी
103269;3241;English
103299;3241;English
103301;3651;Pусский
103328;3276;Français
103370;3241;English
103413;3241;English
103433;3241;English
103502;3276;Français
103528;3241;English
103539;3424;қазақ
103590;3414;ქართული
103635;3241;English
103663;3197;Dansk
103663;3580;Polski
103663;3241;English
103667;3241;English
103688;3241;English
103731;3241;English
103745;3267;suomi
103747;3241;English
103753;3241;English
103753;3276;Français
103753;3428;한국어/조선말
103875;3886;普通话
1039;3201;Deutsch
103972;3197;Dansk
104;3201;Deutsch
104;3241;English
104;3383;日本語
1040;3371;Italiano
1040;3445;Latin
1040;3276;Français
104041;3241;English
104041;3241;English
104043;3241;English
