movie_id;title;original_title;original_language;budget;revenue;runtime;popularity;vote_average;vote_count;release_date;status;adult;homepage;imdb_id;poster_path;tagline;overview;video
100;Lock, Stock and Two Smoking Barrels;Lock, Stock and Two Smoking Barrels;en;1350000;3897569;105;4.60786;7.5;1671;1998-03-05;Released;false;http://www.universalstudiosentertainment.com/lock-stock;tt0120735;/qV7QaSf7f7yC2lc985zfyOJIAIN.jpg;A Disgrace to Criminals Everywhere.;A card sharp and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.;false
100010;Flight Command;Flight Command;en;0;0;116;0.769266;6.0;1;1940-12-27;Released;false;;tt0032477;/zrLmIoNozsKM4CkjXG1abOxOZj9.jpg;"""T-H-R-I-L-L AMERICA! Here come The Flying """"HELL CATS""""!                                                                                                     """;A rookie flyer, Ens. Alan Drake, joins the famous Hellcats Squadron right out of flight school in Pensacola. He doesn't make a great first impression when he is forced to ditch his airplane and parachute to safety when he arrives at the base but is unable to land due to heavy fog. On his first day on the job, his poor shooting skills results in the Hellcats losing an air combat competition. His fellow pilots accept him anyways but they think he's crossed the line when they erroneously conclude that while their CO Billy Gray is away, Drake has an affair with his wife Lorna. Drake is now an outcast and is prepared to resign from the Navy but his extreme heroism in saving Billy Gray's life turns things around.;false
100017;Hounded;Verfolgt;de;0;0;87;2.964103;4.8;7;2006-08-06;Released;false;;tt0488903;/9niCIIX0vGaiS7pPDkWYQEzUdNV.jpg;;Deals with the obsessive relationship between a confused teenager and an elder woman. Elsa Seifert successfully works as probation officer, but the relationship to her longtime companion is in trouble since their common daughter moved out. Then she gets to know Jan, a 16-years-old offender, who frankly offers to submit himself sexually to her. Although being shocked in the beginning, Elsa gets more and more attracted by the young man;false
100032;The Great Los Angeles Earthquake;The Great Los Angeles Earthquake;en;0;0;180;1.315925;6.8;5;1990-11-11;Released;false;;tt0099137;/r6mWGHDptC2pYPikO6BI3cJW6aI.jpg;There is no safe harbor, there is no escape... L.A.'s worst fear has just become a reality.;"""After a series of small tremors in Los Angeles, Dr. Clare Winslow, a local seismologist, pinpoints the exact location and time of when the long awaited earthquake--""""The Big One""""--will strike southern California. With this information, she must battle city officials to release this information to the general public. Also, she hopes that her family is out of harms way when the quake strikes. Subplots show how other families and people cope with the the tremors that strike before the impending """"Big One.""""                                                                                                                                                                                                                                                 """;false
100042;Dumb and Dumber To;Dumb and Dumber To;en;40000000;169837010;110;15.402597;5.4;1140;2014-11-12;Released;false;;tt2096672;/Ekw3ijq9L6RiKvv5m2tPOEklHF.jpg;The Second Parts Are More Fools;20 years after the dimwits set out on their first adventure, they head out in search of one of their long lost children in the hope of gaining a new kidney.;false
100046;The Giant Mechanical Man;The Giant Mechanical Man;en;0;0;94;3.403206;6.1;54;2012-04-27;Released;false;;tt1769363;/r9K2kmLrm2gIJuUPO6VamakgvDE.jpg;;An offbeat romantic comedy about a silver-painted street performer and the soft spoken zoo worker who falls for him.;false
100085;El tren de la memoria;El tren de la memoria;en;0;0;85;0.039978;6.0;1;2005-04-27;Released;false;;tt0436845;/2ccllpQmNSJI8gTW8JKOj1zKGEj.jpg;;Josefina's personal journey back to Nuremberg, Germany, where she arrived as an immigrant from Spain being only 18, along with other 2 million Spaniards who left to Europe in order to find a future.;false
100089;Nazis at the Center of the Earth;Nazis at the Center of the Earth;en;0;0;90;2.554387;3.2;38;2012-04-23;Released;false;;tt2130142;/1vx1oXzuMwApZzEzUbMXhHY8uS5.jpg;Dead...but not gone;A group of researchers in Antarctica are abducted by a platoon of masked soldiers and dragged into a hidden continent in the center of the Earth. There, they discover that surviving Nazi soldiers are plotting an invasion of Earth to revive the Third Reich.;false
100167;No Way Home;No Way Home;en;0;0;102;0.565625;7.6;5;1996-09-01;Released;false;;tt0117194;/4arjoL5ehhUr1bf8BTWu6XCoPio.jpg;Blood ties can be murder.;An ex-cons future is threatened by his brother's involvement with drugs.;false
100183;Outpost: Black Sun;Outpost: Black Sun;en;3000000;0;101;2.438754;4.5;32;2012-01-01;Released;false;http://www.outpostthemovies.com/;tt1418712;/cuEu43u2MNTJgyNIzf9z7AK6hpE.jpg;War in Hell;A pair of investigators team up with a Special Forces Unit to venture deep inside a war raging between the military and a massive army of Nazi Zombie Stormtroopers. Their mission is to fight their way behind enemy lines, locate the technology at the source of this growing threat and prevent the seemingly inevitable rise of the 4th Reich.;false
100185;Return Home;Return Home;en;0;0;87;1.0E-6;5.0;1;1990-08-02;Released;false;;tt0100479;/4uwDnGYQiTqM6SyVLjILpUBlpo.jpg;A man and his wife are partners in a small business, a service station, that is stuggling to survive financially...;A man and his wife are partners in a small business, a service station, that is stuggling to survive financially. They are visited by his brother, a divorced middle-aged man, who has taken a break from his stressful career in a big business corporation.;false
100196;Julian Po;Julian Po;en;0;0;84;0.300345;6.1;6;1997-09-05;Released;false;;tt0119429;/2kdCZztkyS0sgtoWaLp3zebp1uE.jpg;;Christian Slater is a stranger who comes to a small town. The local citizens think he's up to no good. After bothering him for a while, he blurts out in frustration, that he is there to kill himself.;false
100205;Baby Snakes;Baby Snakes;en;0;0;166;0.075144;8.3;2;1979-12-21;Rumored;false;;tt0078820;/jP5sEYzb1yFNjBQNAuX0GhR9qwm.jpg;A movie about people who do stuff that is not normal;Rock artist Frank Zappa hosts a concert in New York City. This movie contains tons of on-stage footage, off-stage footage, and animation.;false
100246;Gertie the Dinosaur;Gertie the Dinosaur;en;0;0;12;1.914726;6.7;27;1914-09-15;Released;false;http://de.wikipedia.org/wiki/Gertie_the_Dinosaur;tt0004008;/6zQNAso7pVpVUPVLIv86bsbDlUW.jpg;The greatest animal act in the world!!!;"""Although not the first feature-length animated film, as is sometimes thought, it was the first cartoon to feature a character with an appealing personality. The appearance of a true character distinguished it from earlier animated """"trick films"""", such as those of Blackton and Cohl, and makes it the predecessor to later popular cartoons such as those by Walt Disney. The film was also the first to be created using keyframe animation.                                                                                                                                                                                                                                                                                                                         """;false
100257;Quartet;Quartet;en;0;0;120;0.482475;6.8;3;1948-10-26;Released;false;;tt0040335;/jWvwfb3lxsZMsplIWLR1JM6C4lE.jpg;;"""Somerset Maugham introduces four of his tales in this anthology film: """"The Facts of Life,"""" """"The Alien Corn,"""" """"The Kite,"""" and """"The Colonel's Lady.""""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         """;false
100270;Game of Werewolves;Lobos de Arga;es;0;0;104;2.697544;6.4;26;2011-10-07;Released;false;;tt1650555;/oY33tXagQSc3yko8DTnkSZWQUKd.jpg;;After 15 years, Tomas, a moderately successful writer, returns to his family's ancestral village in Galicia to receive a civic award, and write his next book. Neither of those things happens.;false
100272;Harold's Going Stiff;Harold's Going Stiff;en;0;0;77;0.9135;4.3;8;2011-05-06;Released;false;http://www.stiffmovie.com;tt1579235;/oBeRQjnngmSqITiBhZ9dWmSAqLJ.jpg;The nicest zombie you'll ever meet.;Lonely pensioner, Harold Gimble, has become the first man to suffer from a new neurological disease that is slowly turning him into a zombie-like state. Harold’s hermit-like existence is shaken up when a vivacious nurse, Penny Rudge, is sent along to alleviate his stiffness. Her ‘special’ massage techniques work a treat on Harold and they become close friends.  Harold agrees to trial a possible cure for the disease at a private institute, and the initial results are excellent. But the following day he’s in an even worse state than before, and after Penny accidentally overhears the doctor’s dire prognosis for Harold she decides to sneak him away the next morning.  Word soon gets out, and before long a small group of bloodthirsty thugs are;false
100275;Eddie: The Sleepwalking Cannibal;Eddie: The Sleepwalking Cannibal;en;0;1632;79;2.025477;6.1;30;2012-04-22;Released;false;;tt1480658;/aJl7nZDzJChJW0yJdvAQGKOXAfc.jpg;Part muse. Part sleepwalking cannibal.;A once-famous painter rediscovers inspiration when he befriends a sleepwalking cannibal.;false
100287;My Avatar and Me;Min Avatar og mig;da;0;0;0;0.020993;0.0;0;2010-11-10;Released;false;;tt1613763;/1DRS1iHoIKQ3ZKVmuFeIsjRd6Gr.jpg;;is a creative documentary-fiction film and a film that might expand your sense of reality. It is the story about a man who enters the virtual world Second Life to pursue his personal dreams and ambitions. His journey into cyberspace becomes a magic learning experience, which gradually opens the gates to a much larger reality.;false
100450;Trapped in the Closet: Chapters 1-12;Trapped in the Closet: Chapters 1-12;en;0;0;43;0.843314;6.8;9;2005-11-01;Released;false;;tt0491587;/2LE1g0zlnSJg0Uga17Z0MQ3UD8Q.jpg;;R. Kelly wakes up in a married woman’s bed, and the husband is on his way home, and they get caught, but the husband has secrets of his own, and it all kind of explodes from there, with more characters being introduced, and everyone is sleeping with everyone, and there are a billion secrets and twists and cliffhangers, and also it’s a musical where R. Kelly voices every character.;false
100490;Scarlett;Scarlett;en;0;0;360;1.288235;7.1;6;1994-11-13;Released;false;;tt0108915;/azffPBb1nPOBzcXH1myHXji1n4L.jpg;;The greatest love story ever told began with Gone with the Wind and continues in this sweeping epic sequel, as Scarlett, Rhett and a host of unforgettable characters go from tragedy to triumph in an action-packed saga of international scope;false
