id,title,budget,revenue,genres,crew
1,Avatar,237000000,2787965087,Action,"[{""credit_id"": ""52fe48"", ""job"": ""Director"", ""name"": ""James Cameron""}, {""credit_id"": ""52fe49"", ""job"": ""Producer"", ""name"": ""Jon Landau""}]"
2,Pirates of the Caribbean,300000000,961000000,Adventure,"[{""credit_id"": ""62fe11"", ""job"": ""Director"", ""name"": ""Gore Verbinski""}]"
3,Spectre,245000000,880674609,Action,"[{""credit_id"": ""54ge22"", ""job"": ""Director"", ""name"": ""Sam Mendes""}]"
4,The Dark Knight Rises,250000000,1084939099,Crime,"[{""credit_id"": ""76de33"", ""job"": ""Director"", ""name"": ""Christopher Nolan""}, {""credit_id"": ""12ab34"", ""job"": ""Writer"", ""name"": ""Jonathan Nolan""}]"
5,John Carter,260000000,284139100,Sci-Fi,"[{""credit_id"": ""11ac55"", ""job"": ""Director"", ""name"": ""Andrew Stanton""}]"
6,Spider-Man 3,258000000,890871626,Fantasy,"[{""credit_id"": ""99pp88"", ""job"": ""Director"", ""name"": ""Sam Raimi""}]"
7,Tangled,260000000,591794936,Animation,"[{""credit_id"": ""77yy66"", ""job"": ""Director"", ""name"": ""Byron Howard""}]"
8,Avengers: Age of Ultron,280000000,1405403694,Sci-Fi,"[{""credit_id"": ""55uu44"", ""job"": ""Director"", ""name"": ""Joss Whedon""}]"
9,Harry Potter and the Half-Blood Prince,250000000,933959197,Fantasy,"[{""credit_id"": ""33rr22"", ""job"": ""Director"", ""name"": ""David Yates""}]"
10,Batman v Superman: Dawn of Justice,250000000,873260194,Action,"[{""credit_id"": ""22ee11"", ""job"": ""Director"", ""name"": ""Zack Snyder""}]"
11,Superman Returns,209000000,391081192,Sci-Fi,"[{""credit_id"": ""88qq00"", ""job"": ""Director"", ""name"": ""Bryan Singer""}]"
12,Quantum of Solace,200000000,586090727,Adventure,"[{""credit_id"": ""44tt77"", ""job"": ""Director"", ""name"": ""Marc Forster""}]"
13,Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,Adventure,"[{""credit_id"": ""62fe11"", ""job"": ""Director"", ""name"": ""Gore Verbinski""}]"
14,The Lone Ranger,215000000,89289910,Western,"[{""credit_id"": ""62fe11"", ""job"": ""Director"", ""name"": ""Gore Verbinski""}]"
15,Man of Steel,225000000,662845518,Action,"[{""credit_id"": ""22ee11"", ""job"": ""Director"", ""name"": ""Zack Snyder""}]"
16,The Chronicles of Narnia: Prince Caspian,225000000,419665568,Family,"[{""credit_id"": ""11aa22"", ""job"": ""Director"", ""name"": ""Andrew Adamson""}]"
17,The Avengers,220000000,1519557910,Sci-Fi,"[{""credit_id"": ""55uu44"", ""job"": ""Director"", ""name"": ""Joss Whedon""}]"
18,Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,Adventure,"[{""credit_id"": ""99oo88"", ""job"": ""Director"", ""name"": ""Rob Marshall""}]"
19,Men in Black 3,225000000,624026776,Comedy,"[{""credit_id"": ""77ii66"", ""job"": ""Director"", ""name"": ""Barry Sonnenfeld""}]"
20,The Hobbit: The Battle of the Five Armies,250000000,956019788,Fantasy,"[{""credit_id"": ""55uu99"", ""job"": ""Director"", ""name"": ""Peter Jackson""}]"
